zip_code,city,population
77002,Houston,16793
77003,Houston,10508
77004,Houston,32692
77005,Houston,25528
77006,Houston,19664
77007,Houston,30853
77008,Houston,30482
77009,Houston,38094
77010,Houston,366
77011,Houston,19547
77012,Houston,20719
77013,Houston,17602
77014,Houston,28684
77015,Houston,53621
77016,Houston,26989
77017,Houston,32561
77018,Houston,25563
77019,Houston,18944
77020,Houston,25464
77021,Houston,26042
77022,Houston,29557
77023,Houston,28998
77024,Houston,34775
77025,Houston,26137
77026,Houston,23940
77027,Houston,14331
77028,Houston,16808
77029,Houston,17814
77030,Houston,10258
77031,Houston,15762
77032,Houston,12757
77033,Houston,27965
77034,Houston,33678
77035,Houston,35896
77036,Houston,71969
77037,Houston,19819
77038,Houston,26713
77039,Houston,27562
77040,Houston,45081
77041,Houston,37146
77042,Houston,36385
77043,Houston,23358
77044,Houston,30949
77045,Houston,31255
77046,Houston,1196
77047,Houston,21077
77048,Houston,15294
77049,Houston,28521
77050,Houston,4611
77051,Houston,15085
77053,Houston,28954
77054,Houston,22290
77055,Houston,41989
77056,Houston,18673
77057,Houston,39208
77058,Houston,16406
77059,Houston,16949
77060,Houston,40830
77061,Houston,24457
77062,Houston,25152
77063,Houston,34299
77064,Houston,45847
77065,Houston,35326
77066,Houston,31366
77067,Houston,30559
77068,Houston,10064
77069,Houston,16541
77070,Houston,46017
77071,Houston,25671
77072,Houston,56526
77073,Houston,34790
77074,Houston,37267
77075,Houston,37388
77076,Houston,33803
77077,Houston,52151
77078,Houston,14777
77079,Houston,31280
77080,Houston,45275
77081,Houston,47860
77082,Houston,49900
77083,Houston,70837
77084,Houston,95137
77085,Houston,16074
77086,Houston,28009
77087,Houston,36399
77088,Houston,49660
77089,Houston,48685
77090,Houston,32930
77091,Houston,23472
77092,Houston,33745
77093,Houston,46929
77094,Houston,8498
77095,Houston,66502
77096,Houston,32628
77098,Houston,13076
77099,Houston,47091
77336,Huffman,12471
77338,Humble,33971
77339,Kingwood,37512
77345,Kingwood,26122
77346,Humble,53578
77357,New Caney,19987
77365,Porter,25769
77373,Spring,54609
77375,Tomball,39351
77377,Tomball,28708
77379,Spring,70544
77388,Spring,40384
77389,Spring,21255
77396,Humble,43317
77401,Bellaire,17491
77429,Cypress,72264
77433,Cypress,50539
77447,Hockley,11872
77449,Katy,94382
77450,Katy,71889
77477,Stafford,35897
77484,Waller,11068
77489,Missouri City,35554
77493,Katy,23104
77494,Katy,61600
77502,Pasadena,37995
77503,Pasadena,24251
77504,Pasadena,24529
77505,Pasadena,23223
77506,Pasadena,35977
77520,Baytown,36489
77521,Baytown,49507
77523,Baytown,17031
77530,Channelview,31086
77532,Crosby,26236
77536,Deer Park,30690
77546,Friendswood,47636
77547,Galena Park,9735
77562,Highlands,10459
77571,La Porte,35666
77581,Pearland,42383
77586,Seabrook,20970
77587,South Houston,16568
77598,Webster,23059
